category,rank,item_or_template,frequency,percentage_of_outbound,contains_dm_deflection
top_repeated_template,36,@user Please DM us your tracking and contact number via the link so we can look into this for you. ^CH https://t.co/wKJHDXWGRQ,244,0.0192,True
top_repeated_template,37,@user Good evening! I would really like to help with your Internet services. When you can plz DM your phone number and address to chat? ^DT,242,0.019,True
top_repeated_template,38,@user Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.,227,0.0178,False
top_repeated_template,39,@user That's troubling to hear. Please contact https://t.co/nrhUDiEk7G so we can investigate. -James,225,0.0177,False
top_repeated_template,40,@user Please check your DM's for more instructions.,223,0.0175,True
top_repeated_template,41,@user My apologies for any issues you're currently having. I'd be happy to help anyway we can. Please DM your service phone number or account number so we can access your account. ^RR,222,0.0174,True
top_repeated_template,42,@user Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,222,0.0174,False
top_repeated_template,43,@user Sorry we got it wrong! Could you send us a DM with more info so we can sort it out for you? ^KR,221,0.0173,True
top_repeated_template,44,@user It seems a member of our team has reached out to you. Please check your email and follow up with them there.,220,0.0173,False
top_repeated_template,45,@user We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,220,0.0173,True
top_repeated_template,46,@user Hi I never heard back from you. Let me know if I can assist. All the best. ^Clarissa,219,0.0172,False
top_repeated_template,47,"@user @user Hello @user, kindly assist with stated issue. Thank you. ^Osebi.",215,0.0169,False
top_repeated_template,48,"@user Let me partner you with our Verizon Wireless team @user.  
^CAR",211,0.0166,False
top_repeated_template,49,@user 2/2 https://t.co/6iDGBJAc2m,207,0.0162,False
top_repeated_template,50,"@user Oh no! This is not the experience we want our customers to have. I can definitely look into this service issue for you. Please, go ahead",205,0.0161,False
